"FC1"	"FC2"	"FC3"
"mmu-miR-335-3p"	1.27853549937398	-0.961653688350517	-2.2401891877245
"mmu-miR-335-5p"	0.489203517915725	2.12359937844138	1.63439586052566
"mmu-miR-339-3p"	-3.05285188226573	-2.36405357056004	0.688798311705696
"mmu-miR-339-5p"	-2.6167016917889	-2.78523211115946	-0.168530419370559
"mmu-miR-340-5p"	-3.85242715895657	-5.89161642453056	-2.03918926557398
"mmu-miR-342-3p"	-1.58913817669235	-0.783576536457796	0.805561640234553
"mmu-miR-342-5p"	-0.853561793072474	-2.8510549374619	-1.99749314438943
"mmu-miR-344-3p"	-0.207167693700097	0.0406789534537956	0.247846647153893
"mmu-miR-344b-3p"	-0.0618052844734716	-0.784271308944563	-0.722466024471091
"mmu-miR-344d-3-5p"	-2.74642592341527	-1.82442843541655	0.921997487998727
"mmu-miR-344d-3p"	-2.35093606541626	-3.90768854642581	-1.55675248100955
"mmu-miR-345-3p"	0.458878119669875	0.108436232039362	-0.350441887630513
"mmu-miR-345-5p"	-3.74642592341527	-2.56808868215676	1.17833724125851
"mmu-miR-3474"	-1.66230458925432	-0.269389900873617	1.3929146883807
"mmu-miR-34a-5p"	-2.65849153614312	-1.0703893278914	1.58810220825172
"mmu-miR-34b-3p"	-0.409833904671304	-0.571827098532022	-0.161993193860718
"mmu-miR-34b-5p"	-0.0815298854965985	1.66213036124362	1.74366024674021
"mmu-miR-34c-5p"	-0.820387676148128	-1.03910398868108	-0.218716312532954
"mmu-miR-350-5p"	-1.07108309806148	-1.68363143045454	-0.612548332393056
"mmu-miR-351-3p"	0.218534945666934	-0.40384508440864	-0.622380030075574
"mmu-miR-351-5p"	2.48609363439985	0.819591438796398	-1.66650219560345
"mmu-miR-3535"	-4.0287228838865	-2.21957690630291	1.80914597758359
"mmu-miR-361-3p"	-1.86029703156957	-2.25825139024829	-0.397954358678721
"mmu-miR-361-5p"	-1.03863265960306	-0.737943361090036	0.300689298513023
"mmu-miR-362-5p"	0.853707519732325	1.40307446529948	0.549366945567157
"mmu-miR-363-3p"	-3.97149357231101	-6.54396512884897	-2.57247155653796
"mmu-miR-365-2-5p"	-2.1422366388961	-3.56883240413829	-1.42659576524219
"mmu-miR-365-3p"	-1.62821569867504	-0.819069721091448	0.809145977583592
"mmu-miR-374b-3p"	-4.33138842413643	-2.56808868215676	1.76329974197967
"mmu-miR-374b-5p"	-1.54437865307542	-2.10113113408497	-0.556752481009554
"mmu-miR-378a-3p"	1.36282187305665	1.69396879656	0.331146923503343
"mmu-miR-378a-5p"	0.921532245754043	1.0842653179203	0.162733072166254
"mmu-miR-378b"	0.367208974188229	1.18806405105578	0.820855076867556
"mmu-miR-378c"	1.03504377633738	1.45582397724528	0.420780200907891
"mmu-miR-378d"	1.13510236640083	2.03132633419391	0.896223967793075
"mmu-miR-379-5p"	-2.25986712675511	-1.64981364507112	0.610053481683986
"mmu-miR-381-3p"	-1.86531638275498	-2.28454167899725	-0.419225296242277
"mmu-miR-383-5p"	-1.73696559416621	-2.56808868215676	-0.831123087990554
"mmu-miR-3968"	-3.52356195605701	-2.91350847437303	0.610053481683986
"mmu-miR-411-5p"	-2.1096244911745	-2.49957100949051	-0.389946518316014
"mmu-miR-421-3p"	-1.99860541792825	-1.49438421747172	0.504221200456525
"mmu-miR-423-3p"	-2.3355079388134	-3.33042084661933	-0.994912907805931
"mmu-miR-423-5p"	-2.53049390426203	-4.61341145166286	-2.08291754740084
"mmu-miR-425-3p"	-1.97383333801853	-1.29458324170861	0.679250096309919
"mmu-miR-425-5p"	-1.6619051167221	-1.67764785326785	-0.0157427365457473
"mmu-miR-449a-5p"	-3.64081573545467	-1.23053176614646	2.41028396930821
"mmu-miR-450a-5p"	0.771657831251769	1.20236257683045	0.430704745578677
"mmu-miR-450b-5p"	2.98645346816205	2.17142234982881	-0.815031118333237
"mmu-miR-452-3p"	-3.96563438648118	-6.42506600511847	-2.4594316186373
"mmu-miR-452-5p"	-3.42854554776162	-4.56228925356591	-1.13374370580429
"mmu-miR-455-3p"	-1.62195670820336	-1.71881824745595	-0.096861539252589
"mmu-miR-455-5p"	-2.17611114585854	-2.5239539394967	-0.347842793638155
"mmu-miR-463-3p"	0.489203517915725	-0.109972842025132	-0.599176359940857
"mmu-miR-465a-3p"	-1.26773374236961	-1.55162903805361	-0.283895295683997
"mmu-miR-465b-3p"	-1.71638239856366	-1.61514464118795	0.101237757375708
"mmu-miR-465b-5p"	0.0780025120012732	-0.31194400631474	-0.389946518316014
"mmu-miR-465c-3p"	-1.54904110857817	-1.89007802641323	-0.341036917835067
"mmu-miR-465c-5p"	-1.09201261126494	-0.833361282402483	0.258651328862455
"mmu-miR-467a-5p"	0.257387842692652	0.303780748177103	0.0463929054844512
"mmu-miR-470-5p"	-1.23045815856481	-1.44681882237964	-0.216360663814833
"mmu-miR-471-5p"	0.489203517915725	0.535596423400177	0.0463929054844512
"mmu-miR-483-3p"	1.96000193206808	0.546894459887637	-1.41310747218044
"mmu-miR-483-5p"	4.13053917291539	2.04076415878212	-2.08977501413327
"mmu-miR-484"	-1.70320626651818	-2.18492178010507	-0.481715513586884
"mmu-miR-486a-3p"	0.863341970535383	1.37492903910032	0.511587068564938
"mmu-miR-486a-5p"	0.14267205321644	-0.00160651600879097	-0.144278569225231
"mmu-miR-486b-3p"	0.521050736900963	0.111031312388744	-0.410019424512219
"mmu-miR-486b-5p"	0.201144674709081	0.0160678380145665	-0.185076836694515
"mmu-miR-493-5p"	-2.4594316186373	-5.23703919730085	-2.77760757866355
"mmu-miR-497a-5p"	-1.53925397882738	-2.23334610453049	-0.69409212570311
"mmu-miR-497b"	-0.356934544715276	-0.0198995574377048	0.337034987277571
"mmu-miR-499-5p"	1.71208593737769	3.68035567829336	1.96826974091567
"mmu-miR-500-3p"	0.118922098008209	-0.787057992653149	-0.905980090661359
"mmu-miR-501-3p"	0.263263637275046	0.430969707158912	0.167706069883867
"mmu-miR-503-5p"	2.37499356816949	1.75632482848713	-0.618668739682362
"mmu-miR-504-5p"	0.395137941841139	1.24480366875671	0.849665726915569
"mmu-miR-505-3p"	-3.48961462413368	-5.48961462413367	-2
"mmu-miR-505-5p"	-4.34700292377768	-4.44386446303027	-0.096861539252589
"mmu-miR-5099"	-2.7639152782949	-2.86525410891523	-0.101338830620328
"mmu-miR-5114"	0.876264631577755	1.30202853744966	0.425763905871902
"mmu-miR-5122"	0.485426827170242	-0.923378718397088	-1.40880554556733
"mmu-miR-5126"	0.127982361077955	-3.2083268101469	-3.33630917122486
"mmu-miR-5129-3p"	-0.865316382754977	-1.86531638275498	-1
"mmu-miR-5132-5p"	-0.441705449740924	-1.64981364507112	-1.2081081953302
"mmu-miR-532-5p"	0.0584353414850117	0.362679169691095	0.304243828206083
"mmu-miR-542-3p"	1.5631463375606	1.65532970291508	0.0921833653544818
"mmu-miR-574-3p"	-3.4432343911095	-1.25931611758768	2.18391827352181
"mmu-miR-582-3p"	-2.4438077379685	-1.36400702675538	1.07980071121312
"mmu-miR-598-3p"	-0.944276455787589	0.0823586707158775	1.02663512650347
"mmu-miR-615-3p"	-0.822872250071059	-2.96607813592515	-2.14320588585409
"mmu-miR-615-5p"	-2.01098586078689	-4.11869967808714	-2.10771381730025
"mmu-miR-6236"	-2.63092835467334	-4.57994442595453	-1.9490160712812
"mmu-miR-6516-5p"	-2.35693454471528	-0.434937056716548	1.92199748799873
"mmu-miR-652-3p"	-1.60047912723731	-0.764059255048481	0.836419872188825
"mmu-miR-6539"	-2.04454643895326	-1.83876595882173	0.20578048013153
"mmu-miR-664-5p"	-0.939112495349918	-0.918103963341417	0.0210085320085012
"mmu-miR-669c-5p"	-1.01992118620836	-2.07806150032137	-1.05814031411301
"mmu-miR-669h-5p"	-1.25986712675511	-1.64981364507112	-0.389946518316014
"mmu-miR-671-3p"	-2.13504947176856	-3.53115937981162	-1.39610990804307
"mmu-miR-671-5p"	-2.15088645636075	-3.41001942451222	-1.25913296815147
"mmu-miR-672-5p"	0.0780025120012732	-1.36257007938471	-1.44057259138598
"mmu-miR-674-3p"	-0.865089170591595	-3.10604827090419	-2.2409591003126
"mmu-miR-674-5p"	3.08746284125034	4.06847973788277	0.981016896632427
